,course,rooms,period,color,needed capacity,available capacity,start,end
392,341كهر,['408'],27,10,7,150,2025-04-11 01:30:00,2025-04-11 02:30:00
393,320كهر,['415'],27,10,8,100,2025-04-11 01:30:00,2025-04-11 02:30:00
394,212عال,['407'],27,10,28,150,2025-04-11 01:30:00,2025-04-11 02:30:00
395,102نظم,['411'],27,10,76,100,2025-04-11 01:30:00,2025-04-11 02:30:00
396,431بشر,['203'],27,10,59,250,2025-04-11 01:30:00,2025-04-11 02:30:00
397,حسب465,['303'],27,10,6,250,2025-04-11 01:30:00,2025-04-11 02:30:00
398,306نظم,['407'],27,10,13,100,2025-04-11 01:30:00,2025-04-11 02:30:00
399,405نظم,['406'],27,10,19,40,2025-04-11 01:30:00,2025-04-11 02:30:00
400,499تدص,"['405', 'طرقة الأمين']",27,10,42,70,2025-04-11 01:30:00,2025-04-11 02:30:00
401,222 كمص,"['طرقة الألماني', 'طرقة معامل الدور الثالث']",27,10,37,80,2025-04-11 01:30:00,2025-04-11 02:30:00
402,101 كلن,['طرقة معامل الدور الرابع'],27,10,12,50,2025-04-11 01:30:00,2025-04-11 02:30:00
403,SP302,['420'],28,10,36,200,2025-04-11 03:00:00,2025-04-11 04:00:00
404,ED366,['425'],28,10,54,200,2025-04-11 03:00:00,2025-04-11 04:00:00
405,SP205,['305'],28,10,47,200,2025-04-11 03:00:00,2025-04-11 04:00:00
406,P331,['304'],28,10,5,200,2025-04-11 03:00:00,2025-04-11 04:00:00
407,SP420,['408'],28,10,6,150,2025-04-11 03:00:00,2025-04-11 04:00:00
408,203ريض,['420'],29,11,36,200,2025-04-11 04:30:00,2025-04-11 05:30:00
409,212كهر,['425'],29,11,17,200,2025-04-11 04:30:00,2025-04-11 05:30:00
410,357كهر,['305'],29,11,15,200,2025-04-11 04:30:00,2025-04-11 05:30:00
411,200 ريض,['304'],29,11,42,200,2025-04-11 04:30:00,2025-04-11 05:30:00
412,101بشر,['408'],29,11,39,150,2025-04-11 04:30:00,2025-04-11 05:30:00
413,335بشر,['415'],29,11,43,100,2025-04-11 04:30:00,2025-04-11 05:30:00
414,434بشر,['407'],29,11,36,150,2025-04-11 04:30:00,2025-04-11 05:30:00
415,حسب201,['411'],29,11,13,100,2025-04-11 04:30:00,2025-04-11 05:30:00
416,226 صيد,['203'],29,11,28,250,2025-04-11 04:30:00,2025-04-11 05:30:00
417,313 صيد,['303'],29,11,17,250,2025-04-11 04:30:00,2025-04-11 05:30:00
418,424 دوي,['407'],29,11,19,100,2025-04-11 04:30:00,2025-04-11 05:30:00
419,322 عقر,['406'],29,11,16,40,2025-04-11 04:30:00,2025-04-11 05:30:00
420,473 تمض,"['405', 'طرقة الأمين']",29,11,42,70,2025-04-11 04:30:00,2025-04-11 05:30:00
421,108نجم,['420'],30,12,39,200,2025-04-12 06:00:00,2025-04-12 07:00:00
422,205كهر,['425'],30,12,27,200,2025-04-12 06:00:00,2025-04-12 07:00:00
423,445كهر,['305'],30,12,5,200,2025-04-12 06:00:00,2025-04-12 07:00:00
424,151ريض,['304'],30,12,24,200,2025-04-12 06:00:00,2025-04-12 07:00:00
425,101قصد,['408'],30,12,48,150,2025-04-12 06:00:00,2025-04-12 07:00:00
426,334بشر,['415'],30,12,41,100,2025-04-12 06:00:00,2025-04-12 07:00:00
427,445بشر,['407'],30,12,16,150,2025-04-12 06:00:00,2025-04-12 07:00:00
428,حسب441,['411'],30,12,10,100,2025-04-12 06:00:00,2025-04-12 07:00:00
429,418 دوي,['203'],30,12,37,250,2025-04-12 06:00:00,2025-04-12 07:00:00
430,322 دوي,['303'],30,12,51,250,2025-04-12 06:00:00,2025-04-12 07:00:00
431,313دوي,['407'],30,12,26,100,2025-04-12 06:00:00,2025-04-12 07:00:00
432,211 كمص,['406'],30,12,17,40,2025-04-12 06:00:00,2025-04-12 07:00:00
433,352 تمض,['405'],30,12,13,40,2025-04-12 06:00:00,2025-04-12 07:00:00
434,204ريض,['420'],31,13,30,200,2025-04-12 07:30:00,2025-04-12 08:30:00
435,496كهر,['425'],31,13,12,200,2025-04-12 07:30:00,2025-04-12 08:30:00
436,497كهر,['305'],31,13,19,200,2025-04-12 07:30:00,2025-04-12 08:30:00
437,333بشر,['304'],31,13,36,200,2025-04-12 07:30:00,2025-04-12 08:30:00
438,435بشر,['408'],31,13,30,150,2025-04-12 07:30:00,2025-04-12 08:30:00
439,مال210,['415'],31,13,13,100,2025-04-12 07:30:00,2025-04-12 08:30:00
440,415 صيد,['407'],31,13,59,150,2025-04-12 07:30:00,2025-04-12 08:30:00
441,212 دوي,['411'],31,13,12,100,2025-04-12 07:30:00,2025-04-12 08:30:00
442,489 تمض,['203'],31,13,21,250,2025-04-12 07:30:00,2025-04-12 08:30:00
443,310كهر,['420'],32,14,26,200,2025-04-12 09:00:00,2025-04-12 10:00:00
444,351كهر,['425'],32,14,8,200,2025-04-12 09:00:00,2025-04-12 10:00:00
445,443 كهر,['305'],32,14,7,200,2025-04-12 09:00:00,2025-04-12 10:00:00
446,414 عقر,['304'],32,14,39,200,2025-04-12 09:00:00,2025-04-12 10:00:00
447,326 صكل,['408'],32,14,22,150,2025-04-12 09:00:00,2025-04-12 10:00:00
448,340كهر,['420'],33,15,12,200,2025-04-12 10:30:00,2025-04-12 11:30:00
449,446 كهر,['425'],33,15,8,200,2025-04-12 10:30:00,2025-04-12 11:30:00
450,416 صكل,['305'],33,15,51,200,2025-04-12 10:30:00,2025-04-12 11:30:00
451,430 صكل,['304'],33,15,43,200,2025-04-12 10:30:00,2025-04-12 11:30:00
452,432كهر,['420'],34,16,6,200,2025-04-12 12:00:00,2025-04-12 13:00:00
453,413 عقر,['425'],34,16,28,200,2025-04-12 12:00:00,2025-04-12 13:00:00
454,435صيد,['305'],34,16,20,200,2025-04-12 12:00:00,2025-04-12 13:00:00
455,213 دوي,['304'],34,16,14,200,2025-04-12 12:00:00,2025-04-12 13:00:00
456,328 صكل,['420'],35,17,35,200,2025-04-12 13:30:00,2025-04-12 14:30:00
457,420 صكل,['425'],35,17,9,200,2025-04-12 13:30:00,2025-04-12 14:30:00
458,432صيد,['305'],35,17,40,200,2025-04-12 13:30:00,2025-04-12 14:30:00
459,425 دوي,['420'],36,18,19,200,2025-04-13 15:00:00,2025-04-13 16:00:00
460,222 عقر,['425'],36,18,31,200,2025-04-13 15:00:00,2025-04-13 16:00:00
